company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
PEG,2016,4.866666667,74497.901,36.33,7.15,6.04,1.7,2.27,24.7,20.31,17.13,17.11,18.95,14.81,-91.21,5.95,70.35,39.67,55.91,1.77,1.19,0.37,46.4,63.41,7.87,43.55,1.7,0.173655424
PEG,2015,5.266666667,72482.854,35.18,7.15,5.83,1.57,2.66,27.39,21.1,-2.9,21.59,23.39,18.25,3200,1.41,76.68,44.27,62.46,1.73,1.12,0.48,62.43,65.91,5.85,60.24,1.57,0.134143189
PEG,2014,6.175,69710.435,30.4,5.71,4.61,1.9,3.38,29.97,21.37,115.08,nan,nan,nan,nan,5.43,72.81,50.41,70.42,1.44,1.04,0.63,48.55,48.61,7.52,76.49,1.9,-0.065684617
PEG,2013,7.358333333,66766.067,40.36,-21.25,-38.15,1.18,3.49,-140.98,-90.32,-30.56,nan,nan,nan,nan,6.57,69.33,44.2,71.36,1.57,0.86,0.87,64.85,120.75,5.63,37.15,1.18,0.292446941
PEG,2012,8.075,64621.02,43.14,3.63,2.29,1.65,2.97,21.31,17.78,-25.68,-4.94,-35.9,-40.41,-33.7,2.77,62.54,63.67,66.37,0.98,0.52,nan,88.24,51.91,4.14,55.13,1.65,0.047058824
CTAA,2016,4.866666667,74497.901,25.81,7.56,1.52,0.87,14.67,6.79,2.36,1.49,79.57,-29.98,-29.39,37.02,3.15,39.09,39.9,93.1,0.99,0.91,5.92,31.83,30.4,11.47,12.26,0.87,-0.01749503
CTAA,2015,5.266666667,72482.854,27.82,6.59,2.32,0.94,7.87,6.89,3,10.48,-46.88,-77.66,-77.85,-11.64,4.21,34.36,40.63,87.11,0.86,0.66,2.75,32.52,24.18,11.22,11.32,0.94,1.938770741
CTAA,2014,6.175,69710.435,27.56,8.88,6.68,0.92,5.78,28.01,9.34,12.37,24.49,33.13,32.69,11.79,3.46,32.16,40.3,82.46,0.81,0.69,1.77,37.48,23.99,9.74,10.08,0.92,-0.378503994
CTU,2016,4.866666667,74497.901,64.16,-13.44,-15.09,1.35,2.79,-46.93,-22.41,-5.33,nan,nan,nan,nan,3.85,69.28,21.39,64.18,3.24,0.05,1.01,2.47,41.9,147.82,4.45,1.35,-0.032192339
CTU,2015,5.266666667,72482.854,60.57,-14.99,-16.14,1.28,1.97,-35.63,-22.45,-8.96,nan,nan,nan,nan,3.41,66.33,20.41,49.27,3.25,0.1,0.43,2.55,35.29,142.94,3.91,1.28,-0.055427252
CTU,2014,6.175,69710.435,62.97,-6.92,-7.9,1.28,1.69,-12.07,-8.03,nan,nan,nan,nan,nan,2.3,65.05,29.54,40.67,2.2,0.15,0.06,2.25,38.63,162.53,3.59,1.28,0.001156069
CTU,2013,7.358333333,66766.067,66.32,-3.33,-4.43,1.21,1.58,-6.16,-3.58,-9.21,nan,nan,nan,nan,3.36,60.04,21.52,36.52,2.79,0.15,0.1,2.83,65.2,128.91,3.07,1.21,0.186556927
CTU,2012,8.075,64621.02,68.24,-0.4,-0.99,1.26,1.63,-1.56,-0.51,-5.12,nan,nan,nan,nan,nan,56.76,18.12,38.79,3.13,0.23,0.2,2.89,97.6,126.21,3.19,1.26,-0.158522509
CTV,2016,4.866666667,74497.901,9.54,-3.98,-19.26,0.21,1.75,-6.36,-2.75,-29.93,nan,nan,nan,nan,38.25,23.27,8.3,42.95,2.8,2.58,0.44,66.67,51.96,5.47,0.3,0.21,-0.027272727
CTV,2015,5.266666667,72482.854,-33.6,-41.83,-68.72,0.27,1.89,-25.71,-16.76,-37.15,nan,nan,nan,nan,46.03,28.36,8.74,46.97,3.24,2.89,0.54,47.48,29.2,7.68,0.42,0.27,-0.060194175
CTV,2014,6.175,69710.435,31.07,22.72,23.71,0.42,1.63,12.37,9.76,26.31,40.97,77.44,77.88,nan,30.43,25.71,8.35,38.78,3.08,2.83,0.32,43.13,37.31,8.46,0.68,0.42,0.004290172
